Date,daily runoff
04-08-2024,2.7289548
05-08-2024,2.699303
06-08-2024,2.669664
07-08-2024,2.6250322
08-08-2024,2.5781214
09-08-2024,2.5177858
10-08-2024,2.4532497
11-08-2024,2.3891945
12-08-2024,2.3188007
13-08-2024,2.2524147
14-08-2024,2.1754925
15-08-2024,2.1011453
16-08-2024,2.0185533
17-08-2024,1.9371885
18-08-2024,1.861896
19-08-2024,1.7859336
20-08-2024,1.7196357
21-08-2024,1.6483572
22-08-2024,1.5850204
23-08-2024,1.518532
24-08-2024,1.458012
25-08-2024,1.4078791
26-08-2024,1.3609011
27-08-2024,1.3268654
28-08-2024,1.2905346
29-08-2024,1.2642038
30-08-2024,1.2361295
31-08-2024,1.2147703
01-09-2024,1.2038854
02-09-2024,1.195595
03-09-2024,1.1990649
04-09-2024,1.1984706
05-09-2024,1.2055671
06-09-2024,1.2081257
07-09-2024,1.2141824
08-09-2024,1.2271433
09-09-2024,1.2388505
10-09-2024,1.2582692
11-09-2024,1.2694552
12-09-2024,1.2841233
13-09-2024,1.2900838
14-09-2024,1.2954879
15-09-2024,1.303929
16-09-2024,1.3075024
17-09-2024,1.3154861
18-09-2024,1.3123004
19-09-2024,1.3100681
20-09-2024,1.2970406
21-09-2024,1.2818351
22-09-2024,1.2685246
23-09-2024,1.2496895
24-09-2024,1.2350869
25-09-2024,1.2096025
26-09-2024,1.1858009
27-09-2024,1.152345
28-09-2024,1.1182251
29-09-2024,1.0878443
30-09-2024,1.0540627
01-10-2024,1.0268668
02-10-2024,0.99131465
03-10-2024,0.9600879
04-10-2024,0.92190945
05-10-2024,0.88577443
06-10-2024,0.85603684
07-10-2024,0.82545793
08-10-2024,0.80387807
09-10-2024,0.77616805
10-10-2024,0.754786
11-10-2024,0.7282007
12-10-2024,0.7051291
13-10-2024,0.6896294
14-10-2024,0.6741561
15-10-2024,0.66823804
16-10-2024,0.6564366
17-10-2024,0.650908
18-10-2024,0.6398326
19-10-2024,0.63165766
20-10-2024,0.63019454
21-10-2024,0.627678
22-10-2024,0.63344705
23-10-2024,0.63190633
24-10-2024,0.63508934
25-10-2024,0.63108975
26-10-2024,0.6283035
27-10-2024,0.63052666
28-10-2024,0.6300131
29-10-2024,0.63615435
30-10-2024,0.6334383
31-10-2024,0.63401085
01-11-2024,0.62610364
02-11-2024,0.6182732
03-11-2024,0.61449546
04-11-2024,0.60721976
05-11-2024,0.60604495
06-11-2024,0.5956746
07-11-2024,0.5884744
08-11-2024,0.57289666
09-11-2024,0.55771583
10-11-2024,0.5471194
11-11-2024,0.5337589
12-11-2024,0.5274231
13-11-2024,0.5129902
14-11-2024,0.5029832
15-11-2024,0.4859919
16-11-2024,0.47090682
17-11-2024,0.4620086
18-11-2024,0.45201766
19-11-2024,0.45076677
20-11-2024,0.44315258
21-11-2024,0.4416908
22-11-2024,0.43493855
23-11-2024,0.43172866
24-11-2024,0.4362598
25-11-2024,0.4411475
26-11-2024,0.4560978
27-11-2024,0.4658608
28-11-2024,0.48278785
29-11-2024,0.49525595
30-11-2024,0.5119046
01-12-2024,0.53672874
02-12-2024,0.56213236
03-12-2024,0.59760547
04-12-2024,0.62768066
05-12-2024,0.66449326
06-12-2024,0.696209
07-12-2024,0.7312642
08-12-2024,0.7734611
09-12-2024,0.8150254
10-12-2024,0.865285
11-12-2024,0.9086293
12-12-2024,0.95707166
13-12-2024,0.9986788
14-12-2024,1.0418121
15-12-2024,1.0902246
16-12-2024,1.1361182
17-12-2024,1.1888231
18-12-2024,1.2327565
19-12-2024,1.2799841
20-12-2024,1.3186482
21-12-2024,1.357207
22-12-2024,1.3995295
23-12-2024,1.4379497
24-12-2024,1.4819436
25-12-2024,1.5160844
