Date,weekly runoff
05-08-2024,4.0604258
06-08-2024,4.3432946
07-08-2024,4.635481
08-08-2024,4.930332
09-08-2024,5.222992
10-08-2024,5.5095487
11-08-2024,5.7854896
12-08-2024,6.0437827
13-08-2024,6.281514
14-08-2024,6.4991016
15-08-2024,6.690148
16-08-2024,6.8508115
17-08-2024,6.9789534
18-08-2024,7.0725565
19-08-2024,7.127757
20-08-2024,7.1454215
21-08-2024,7.1302676
22-08-2024,7.080617
23-08-2024,6.9976583
24-08-2024,6.8844614
25-08-2024,6.7442746
26-08-2024,6.578419
27-08-2024,6.392735
28-08-2024,6.1965685
29-08-2024,5.9924126
30-08-2024,5.7850494
31-08-2024,5.5804734
01-09-2024,5.384106
02-09-2024,5.1986313
03-09-2024,5.030395
04-09-2024,4.888378
05-09-2024,4.7738347
06-09-2024,4.6894627
07-09-2024,4.638373
08-09-2024,4.6223717
09-09-2024,4.639877
10-09-2024,4.692428
11-09-2024,4.783772
12-09-2024,4.9096284
13-09-2024,5.066997
14-09-2024,5.2532687
15-09-2024,5.464641
16-09-2024,5.694181
17-09-2024,5.9384584
18-09-2024,6.1967535
19-09-2024,6.460932
20-09-2024,6.7248406
21-09-2024,6.983492
22-09-2024,7.231534
23-09-2024,7.461344
24-09-2024,7.669668
25-09-2024,7.856823
26-09-2024,8.016529
27-09-2024,8.145257
28-09-2024,8.241335
29-09-2024,8.303328
30-09-2024,8.328023
01-10-2024,8.316959
02-10-2024,8.275497
03-10-2024,8.202523
04-10-2024,8.099664
05-10-2024,7.97026
06-10-2024,7.8176293
07-10-2024,7.6429296
08-10-2024,7.4515815
09-10-2024,7.2522507
10-10-2024,7.0464816
11-10-2024,6.8378496
12-10-2024,6.630905
13-10-2024,6.4294133
14-10-2024,6.2342257
15-10-2024,6.049728
16-10-2024,5.882862
17-10-2024,5.73282
18-10-2024,5.600277
19-10-2024,5.486419
20-10-2024,5.3912883
21-10-2024,5.3117585
22-10-2024,5.248097
23-10-2024,5.2031035
24-10-2024,5.1719136
25-10-2024,5.1513414
26-10-2024,5.1390104
27-10-2024,5.1317835
28-10-2024,5.123823
29-10-2024,5.1132154
30-10-2024,5.1011543
31-10-2024,5.0817804
01-11-2024,5.0515337
02-11-2024,5.008282
03-11-2024,4.949735
04-11-2024,4.871458
05-11-2024,4.773452
06-11-2024,4.6592684
07-11-2024,4.525776
08-11-2024,4.3724265
09-11-2024,4.2002935
10-11-2024,4.01039
11-11-2024,3.8015926
12-11-2024,3.5771227
13-11-2024,3.34358
14-11-2024,3.1006222
15-11-2024,2.850162
16-11-2024,2.5953443
17-11-2024,2.3388157
18-11-2024,2.0806148
19-11-2024,1.8246328
20-11-2024,1.5776399
21-11-2024,1.3389764
22-11-2024,1.1097708
23-11-2024,0.89195377
24-11-2024,0.6865741
25-11-2024,0.4917469
26-11-2024,0.30917913
27-11-2024,0.14326738
28-11-2024,0.009136259
29-11-2024,0.14942944
30-11-2024,0.27817056
01-12-2024,0.3966909
02-12-2024,0.50907874
03-12-2024,0.6155944
04-12-2024,0.71352124
05-12-2024,0.807359
06-12-2024,0.8994988
07-12-2024,0.9911166
08-12-2024,1.0837783
09-12-2024,1.1814305
10-12-2024,1.2838328
11-12-2024,1.3874366
12-12-2024,1.4956162
13-12-2024,1.6093892
14-12-2024,1.7283628
15-12-2024,1.8523961
16-12-2024,1.9836507
17-12-2024,2.1200833
18-12-2024,2.2563863
19-12-2024,2.3942733
20-12-2024,2.5332541
21-12-2024,2.6716266
22-12-2024,2.8081765
23-12-2024,2.9442585
24-12-2024,3.0773103
25-12-2024,3.2018008
