Date,weekly runoff
19-08-2024,35.79515
20-08-2024,35.401558
21-08-2024,34.95979
22-08-2024,34.46422
23-08-2024,33.92448
24-08-2024,33.347206
25-08-2024,32.738895
26-08-2024,32.09745
27-08-2024,31.441658
28-08-2024,30.781519
29-08-2024,30.111168
30-08-2024,29.439304
31-08-2024,28.770954
01-09-2024,28.110424
02-09-2024,27.452894
03-09-2024,26.813976
04-09-2024,26.200157
05-09-2024,25.60177
06-09-2024,25.023563
07-09-2024,24.466505
08-09-2024,23.930882
09-09-2024,23.407934
10-09-2024,22.90952
11-09-2024,22.438616
12-09-2024,21.982365
13-09-2024,21.542677
14-09-2024,21.118105
15-09-2024,20.706942
16-09-2024,20.298883
17-09-2024,19.90471
18-09-2024,19.526762
19-09-2024,19.151983
20-09-2024,18.782484
21-09-2024,18.41739
22-09-2024,18.055885
23-09-2024,17.688837
24-09-2024,17.32841
25-09-2024,16.97849
26-09-2024,16.627674
27-09-2024,16.279766
28-09-2024,15.9355755
29-09-2024,15.595901
30-09-2024,15.253118
01-10-2024,14.920741
02-10-2024,14.603819
03-10-2024,14.2918825
04-10-2024,13.989446
05-10-2024,13.697763
06-10-2024,13.417836
07-10-2024,13.141986
08-10-2024,12.88343
09-10-2024,12.646707
10-10-2024,12.420636
11-10-2024,12.208851
12-10-2024,12.011595
13-10-2024,11.828755
14-10-2024,11.651481
15-10-2024,11.491795
16-10-2024,11.353049
17-10-2024,11.222933
18-10-2024,11.104025
19-10-2024,10.995631
20-10-2024,10.8968315
21-10-2024,10.79812
22-10-2024,10.711037
23-10-2024,10.638625
24-10-2024,10.568442
25-10-2024,10.503113
26-10-2024,10.442148
27-10-2024,10.384989
28-10-2024,10.322623
29-10-2024,10.267197
30-10-2024,10.222445
31-10-2024,10.176675
01-11-2024,10.133297
02-11-2024,10.09261
03-11-2024,10.054824
04-11-2024,10.01164
05-11-2024,9.975852
06-11-2024,9.951748
07-11-2024,9.92808
08-11-2024,9.908581
09-11-2024,9.893744
10-11-2024,9.883839
11-11-2024,9.870495
12-11-2024,9.866308
13-11-2024,9.875251
14-11-2024,9.885657
15-11-2024,9.900754
16-11-2024,9.920463
17-11-2024,9.944434
18-11-2024,9.963663
19-11-2024,9.990102
20-11-2024,10.02711
21-11-2024,10.062459
22-11-2024,10.098876
23-11-2024,10.13587
24-11-2024,10.172783
25-11-2024,10.200413
26-11-2024,10.230641
27-11-2024,10.266883
28-11-2024,10.297088
