Date,weekly runoff
09-08-2024,42.747383
10-08-2024,41.70506
11-08-2024,40.49401
12-08-2024,39.13104
13-08-2024,37.630253
14-08-2024,36.020664
15-08-2024,34.31458
16-08-2024,32.535446
17-08-2024,30.705256
18-08-2024,28.84529
19-08-2024,26.976774
20-08-2024,25.115822
21-08-2024,23.290998
22-08-2024,21.5118
23-08-2024,19.796637
24-08-2024,18.160353
25-08-2024,16.615196
26-08-2024,15.17171
27-08-2024,13.833906
28-08-2024,12.617132
29-08-2024,11.516837
30-08-2024,10.536847
31-08-2024,9.677204
01-09-2024,8.935421
02-09-2024,8.307659
03-09-2024,7.7841735
04-09-2024,7.3674183
05-09-2024,7.0410304
06-09-2024,6.7982874
07-09-2024,6.6300907
08-09-2024,6.5263405
09-09-2024,6.4771733
10-09-2024,6.468451
11-09-2024,6.4998565
12-09-2024,6.5538373
13-09-2024,6.623989
14-09-2024,6.7029347
15-09-2024,6.783564
16-09-2024,6.86012
17-09-2024,6.9235086
18-09-2024,6.9792147
19-09-2024,7.0160503
20-09-2024,7.0343394
21-09-2024,7.0336065
22-09-2024,7.013627
23-09-2024,6.975341
24-09-2024,6.9160013
25-09-2024,6.8469496
26-09-2024,6.762246
27-09-2024,6.6667585
28-09-2024,6.5637794
29-09-2024,6.456033
30-09-2024,6.3465686
01-10-2024,6.233915
02-10-2024,6.129886
03-10-2024,6.0282574
04-10-2024,5.93293
05-10-2024,5.8456254
06-10-2024,5.7669992
07-10-2024,5.697633
08-10-2024,5.63331
09-10-2024,5.5829277
10-10-2024,5.537296
11-10-2024,5.497404
12-10-2024,5.462223
13-10-2024,5.4299054
14-10-2024,5.398859
15-10-2024,5.3630857
16-10-2024,5.3301444
17-10-2024,5.2899785
18-10-2024,5.2432017
19-10-2024,5.1888947
20-10-2024,5.1257915
21-10-2024,5.0533195
22-10-2024,4.966893
23-10-2024,4.8758206
24-10-2024,4.7720666
25-10-2024,4.6584625
26-10-2024,4.5364337
27-10-2024,4.407099
28-10-2024,4.272239
29-10-2024,4.1295147
30-10-2024,3.9903033
31-10-2024,3.8483999
01-11-2024,3.7081776
02-11-2024,3.5722673
03-11-2024,3.4426315
04-11-2024,3.3215103
05-11-2024,3.2066338
06-11-2024,3.109063
07-11-2024,3.0219076
08-11-2024,2.948514
09-11-2024,2.8901787
10-11-2024,2.847271
11-11-2024,2.820226
12-11-2024,2.804813
13-11-2024,2.8100357
14-11-2024,2.8269088
15-11-2024,2.856704
16-11-2024,2.8987188
17-11-2024,2.951451
18-11-2024,3.013636
19-11-2024,3.079557
20-11-2024,3.1569726
21-11-2024,3.2359202
22-11-2024,3.3169708
23-11-2024,3.399009
24-11-2024,3.4803972
25-11-2024,3.5600076
26-11-2024,3.632509
27-11-2024,3.7062712
28-11-2024,3.7721348
29-11-2024,3.8316343
30-11-2024,3.884737
01-12-2024,3.9309714
02-12-2024,3.9704168
03-12-2024,3.9989524
04-12-2024,4.026129
05-12-2024,4.0439024
06-12-2024,4.054834
07-12-2024,4.0598025
08-12-2024,4.059119
09-12-2024,4.053505
10-12-2024,4.039336
11-12-2024,4.0265174
12-12-2024,4.007222
13-12-2024,3.9841032
14-12-2024,3.9580245
15-12-2024,3.9291918
16-12-2024,3.8981555
17-12-2024,3.8610773
18-12-2024,3.8276274
19-12-2024,3.789749
20-12-2024,3.7498882
21-12-2024,3.7087474
22-12-2024,3.666429
23-12-2024,3.62345
24-12-2024,3.5760164
25-12-2024,3.5339208
