Date,Discharge
14-08-2024,5151.3315
15-08-2024,5164.8296
16-08-2024,5177.724
17-08-2024,5209.1455
18-08-2024,5187.4014
19-08-2024,5208.233
20-08-2024,5143.9424
21-08-2024,5114.021
22-08-2024,5021.946
23-08-2024,4934.861
24-08-2024,4874.1587
25-08-2024,4770.2563
26-08-2024,4720.802
27-08-2024,4599.7417
28-08-2024,4527.915
29-08-2024,4409.8057
30-08-2024,4313.1963
31-08-2024,4259.732
01-09-2024,4179.688
02-09-2024,4170.1704
03-09-2024,4104.2036
04-09-2024,4101.335
05-09-2024,4064.4255
06-09-2024,4059.338
07-09-2024,4105.5493
08-09-2024,4130.9673
09-09-2024,4230.194
10-09-2024,4273.672
11-09-2024,4378.354
12-09-2024,4444.5547
13-09-2024,4535.704
14-09-2024,4669.0195
15-09-2024,4770.374
16-09-2024,4932.6143
17-09-2024,5024.7417
18-09-2024,5162.622
19-09-2024,5245.859
20-09-2024,5337.5605
21-09-2024,5455.018
22-09-2024,5524.571
23-09-2024,5639.9014
24-09-2024,5671.2017
25-09-2024,5735.8394
26-09-2024,5735.1978
27-09-2024,5734.3896
28-09-2024,5752.8853
29-09-2024,5719.316
30-09-2024,5729.7153
01-10-2024,5656.62
02-10-2024,5619.682
03-10-2024,5522.4443
04-10-2024,5432.0093
05-10-2024,5369.6104
06-10-2024,5265.384
07-10-2024,5216.5684
08-10-2024,5096.5845
09-10-2024,5025.628
10-10-2024,4907.4404
11-10-2024,4808.975
12-10-2024,4750.9873
13-10-2024,4662.817
14-10-2024,4640.6235
15-10-2024,4556.4937
16-10-2024,4529.0815
17-10-2024,4460.4214
18-10-2024,4415.647
19-10-2024,4413.627
20-10-2024,4381.8066
21-10-2024,4414.492
22-10-2024,4382.008
23-10-2024,4401.381
24-10-2024,4373.199
25-10-2024,4361.362
26-10-2024,4383.7505
27-10-2024,4367.086
28-10-2024,4405.23
29-10-2024,4368.349
30-10-2024,4373.597
31-10-2024,4321.9604
01-11-2024,4277.996
02-11-2024,4260.4736
03-11-2024,4197.2075
04-11-2024,4183.318
05-11-2024,4090.3606
06-11-2024,4036.9631
07-11-2024,3925.6316
08-11-2024,3822.4402
09-11-2024,3747.6343
10-11-2024,3630.4194
11-11-2024,3567.1882
12-11-2024,3430.6125
13-11-2024,3340.2573
14-11-2024,3199.3608
15-11-2024,3074.5134
16-11-2024,2986.2456
17-11-2024,2863.821
18-11-2024,2803.4631
19-11-2024,2677.4624
20-11-2024,2604.8037
21-11-2024,2487.972
22-11-2024,2392.654
23-11-2024,2338.3623
24-11-2024,2253.256
25-11-2024,2232.407
26-11-2024,2146.939
27-11-2024,2114.6924
28-11-2024,2037.0619
29-11-2024,1978.7308
30-11-2024,1958.3209
01-12-2024,1903.2377
02-12-2024,1907.9541
03-12-2024,1843.1649
04-12-2024,1826.4579
05-12-2024,1759.1537
06-12-2024,1706.0376
07-12-2024,1686
08-12-2024,1626.868
09-12-2024,1623.6714
10-12-2024,1547.774
11-12-2024,1517.5212
12-12-2024,1435.0507
13-12-2024,1365.9978
14-12-2024,1330.105
15-12-2024,1256.027
16-12-2024,1239.5681
17-12-2024,1152.7905
18-12-2024,1114.6389
19-12-2024,1027.7343
20-12-2024,958.0643
21-12-2024,925.585
22-12-2024,859.0206
23-12-2024,854.10144
24-12-2024,782.67706
25-12-2024,763.3511
