Date,daily runoff
03-08-2024,6.449871
04-08-2024,6.3870115
05-08-2024,6.294381
06-08-2024,6.161514
07-08-2024,5.998518
08-08-2024,5.8192015
09-08-2024,5.627218
10-08-2024,5.407429
11-08-2024,5.17577
12-08-2024,4.930861
13-08-2024,4.663919
14-08-2024,4.386406
15-08-2024,4.1131306
16-08-2024,3.8483908
17-08-2024,3.577323
18-08-2024,3.3157783
19-08-2024,3.061941
20-08-2024,2.80626
21-08-2024,2.5591183
22-08-2024,2.333967
23-08-2024,2.1335
24-08-2024,1.9410453
25-08-2024,1.7704788
26-08-2024,1.61789
27-08-2024,1.471557
28-08-2024,1.3396612
29-08-2024,1.2334661
30-08-2024,1.1535347
31-08-2024,1.0811583
01-09-2024,1.0283098
02-09-2024,0.9893385
03-09-2024,0.95097286
04-09-2024,0.9200578
05-09-2024,0.9067482
06-09-2024,0.9107375
07-09-2024,0.9126916
08-09-2024,0.9241994
09-09-2024,0.93946224
10-09-2024,0.9452853
11-09-2024,0.9487977
12-09-2024,0.96062666
13-09-2024,0.98110205
14-09-2024,0.99166435
15-09-2024,1.0047873
16-09-2024,1.0156381
17-09-2024,1.012039
18-09-2024,1.0021585
19-09-2024,0.9976586
20-09-2024,0.9998715
21-09-2024,0.9911851
22-09-2024,0.9849442
23-09-2024,0.9770936
24-09-2024,0.9561249
25-09-2024,0.9307586
26-09-2024,0.9130834
27-09-2024,0.904732
28-09-2024,0.8882669
29-09-2024,0.8770863
30-09-2024,0.867075
01-10-2024,0.84656286
02-10-2024,0.82401836
03-10-2024,0.8112044
04-10-2024,0.80936927
05-10-2024,0.8006503
06-10-2024,0.79799694
07-10-2024,0.7968389
08-10-2024,0.78506094
09-10-2024,0.7707122
10-10-2024,0.7651748
11-10-2024,0.7693677
12-10-2024,0.765159
13-10-2024,0.7652967
14-10-2024,0.7650814
15-10-2024,0.75234294
16-10-2024,0.73515004
17-10-2024,0.72497535
18-10-2024,0.722895
19-10-2024,0.7109934
20-10-2024,0.70228577
21-10-2024,0.69238055
22-10-2024,0.66944546
23-10-2024,0.6419049
24-10-2024,0.621594
25-10-2024,0.60994554
26-10-2024,0.5893843
27-10-2024,0.5732386
28-10-2024,0.55739415
29-10-2024,0.5302515
30-10-2024,0.5004175
31-10-2024,0.47985446
01-11-2024,0.4700648
02-11-2024,0.45348364
03-11-2024,0.443392
04-11-2024,0.4355723
05-11-2024,0.4182707
06-11-2024,0.3998935
07-11-2024,0.3921636
08-11-2024,0.39631218
09-11-2024,0.3944802
10-11-2024,0.39964002
11-11-2024,0.40726003
12-11-2024,0.4052754
13-11-2024,0.4017934
14-11-2024,0.40825683
15-11-2024,0.425643
16-11-2024,0.43587095
17-11-2024,0.45172745
18-11-2024,0.4685354
19-11-2024,0.47412622
20-11-2024,0.47654584
21-11-2024,0.48721808
22-11-2024,0.5071412
23-11-2024,0.5182924
24-11-2024,0.53355026
25-11-2024,0.54835796
26-11-2024,0.5506907
27-11-2024,0.54875606
28-11-2024,0.5541512
29-11-2024,0.56805384
30-11-2024,0.5726211
01-12-2024,0.58090633
02-12-2024,0.5885178
03-12-2024,0.5835823
04-12-2024,0.5744418
05-12-2024,0.57280856
06-12-2024,0.5799544
07-12-2024,0.5781092
08-12-2024,0.5803777
09-12-2024,0.5823997
10-12-2024,0.57231516
11-12-2024,0.55846345
12-12-2024,0.5525416
13-12-2024,0.55579674
14-12-2024,0.55042785
15-12-2024,0.5495068
16-12-2024,0.54864126
17-12-2024,0.53594315
18-12-2024,0.5197311
19-12-2024,0.5116901
20-12-2024,0.513066
21-12-2024,0.5060684
22-12-2024,0.5037914
23-12-2024,0.50187606
24-12-2024,0.48847827
25-12-2024,0.47196802
