Date,flood runoff
02-08-2024,0.8318166
03-08-2024,0.8384133
04-08-2024,0.8645216
05-08-2024,0.8919456
06-08-2024,0.8745897
07-08-2024,0.84037006
08-08-2024,0.83495986
09-08-2024,0.78460556
10-08-2024,0.73043853
11-08-2024,0.6977218
12-08-2024,0.66931796
13-08-2024,0.6001237
14-08-2024,0.5189596
15-08-2024,0.47229528
16-08-2024,0.38704947
17-08-2024,0.30488676
18-08-2024,0.25145435
19-08-2024,0.20984256
20-08-2024,0.13501614
21-08-2024,0.05570457
22-08-2024,0.018131517
23-08-2024,0.051177528
24-08-2024,0.11108686
25-08-2024,0.13659962
26-08-2024,0.1453804
27-08-2024,0.18330431
28-08-2024,0.22254601
29-08-2024,0.21782774
30-08-2024,0.24358895
31-08-2024,0.2596551
01-09-2024,0.2419641
02-09-2024,0.20906784
03-09-2024,0.20766146
04-09-2024,0.21065475
05-09-2024,0.17340495
06-09-2024,0.17087424
07-09-2024,0.163289
08-09-2024,0.12686051
09-09-2024,0.080283664
10-09-2024,0.07026704
11-09-2024,0.06960813
12-09-2024,0.033433493
13-09-2024,0.036365833
14-09-2024,0.038195923
15-09-2024,0.014617866
16-09-2024,0.016255952
17-09-2024,0.008347145
18-09-2024,0.010482185
19-09-2024,0.005311879
20-09-2024,0.018230397
21-09-2024,0.04026183
22-09-2024,0.035879992
23-09-2024,0.022656916
24-09-2024,0.046199612
25-09-2024,0.078254126
26-09-2024,0.07297221
27-09-2024,0.10410219
28-09-2024,0.13068098
29-09-2024,0.12778567
30-09-2024,0.11306039
01-10-2024,0.13227153
02-10-2024,0.15740412
03-10-2024,0.14291884
04-10-2024,0.16293147
05-10-2024,0.1768921
06-10-2024,0.16032302
07-10-2024,0.13133141
08-10-2024,0.13615005
09-10-2024,0.14721969
10-10-2024,0.11943271
11-10-2024,0.12730019
12-10-2024,0.13062033
13-10-2024,0.10520704
14-10-2024,0.069395304
15-10-2024,0.06957679
16-10-2024,0.07827913
17-10-2024,0.0504088
18-10-2024,0.06041963
19-10-2024,0.067984745
20-10-2024,0.04873066
21-10-2024,0.020749899
22-10-2024,0.03014536
23-10-2024,0.049119573
24-10-2024,0.032228403
25-10-2024,0.05356099
26-10-2024,0.072423235
27-10-2024,0.06408333
28-10-2024,0.046295274
29-10-2024,0.06485331
30-10-2024,0.09169016
31-10-2024,0.0811383
01-11-2024,0.107115924
02-11-2024,0.12881474
03-11-2024,0.12144795
04-11-2024,0.10277434
05-11-2024,0.11865147
06-11-2024,0.14113086
07-11-2024,0.1247146
08-11-2024,0.14353497
09-11-2024,0.15703496
10-11-2024,0.14070755
11-11-2024,0.112610705
12-11-2024,0.11891079
13-11-2024,0.13196793
14-11-2024,0.1065829
15-11-2024,0.11716764
16-11-2024,0.12341709
17-11-2024,0.10104113
18-11-2024,0.06827323
19-11-2024,0.07140893
20-11-2024,0.08288777
21-11-2024,0.05753847
22-11-2024,0.06974921
23-11-2024,0.07914094
24-11-2024,0.0613024
25-11-2024,0.03430306
26-11-2024,0.0442375
27-11-2024,0.06331407
28-11-2024,0.04610779
29-11-2024,0.06673889
30-11-2024,0.084554814
01-12-2024,0.074873924
02-12-2024,0.055506986
03-12-2024,0.07230957
04-12-2024,0.09727812
05-12-2024,0.08480918
06-12-2024,0.10888333
07-12-2024,0.12875111
08-12-2024,0.11967944
09-12-2024,0.09947417
10-12-2024,0.11403227
11-12-2024,0.13543606
12-12-2024,0.11820933
13-12-2024,0.1364968
14-12-2024,0.14974453
15-12-2024,0.1334398
16-12-2024,0.105626464
17-12-2024,0.112449445
18-12-2024,0.12624095
19-12-2024,0.10176863
20-12-2024,0.11340738
21-12-2024,0.12081249
22-12-2024,0.099653006
23-12-2024,0.06812163
24-12-2024,0.072474554
25-12-2024,0.085114546
