Date,daily runoff
03-08-2024,0.63100874
04-08-2024,0.6679657
05-08-2024,0.7258437
06-08-2024,0.7589962
07-08-2024,0.80828947
08-08-2024,0.84002274
09-08-2024,0.87409204
10-08-2024,0.91693586
11-08-2024,0.9432066
12-08-2024,0.9859951
13-08-2024,0.9998016
14-08-2024,1.0257528
15-08-2024,1.0305182
16-08-2024,1.0344664
17-08-2024,1.0446007
18-08-2024,1.0362176
19-08-2024,1.0431157
20-08-2024,1.0205506
21-08-2024,1.0104322
22-08-2024,0.98022246
23-08-2024,0.9510708
24-08-2024,0.9307301
25-08-2024,0.8951954
26-08-2024,0.8788953
27-08-2024,0.8376285
28-08-2024,0.8137484
29-08-2024,0.77504706
30-08-2024,0.742882
31-08-2024,0.725086
01-09-2024,0.6976019
02-09-2024,0.6946755
03-09-2024,0.6717949
04-09-2024,0.6708825
05-09-2024,0.6591886
06-09-2024,0.6574318
07-09-2024,0.6727235
08-09-2024,0.68022096
09-09-2024,0.71333885
10-09-2024,0.72670954
11-09-2024,0.76139575
12-09-2024,0.7838055
13-09-2024,0.8138529
14-09-2024,0.85790277
15-09-2024,0.8904413
16-09-2024,0.9443044
17-09-2024,0.9736508
18-09-2024,1.0191866
19-09-2024,1.0470879
20-09-2024,1.0771661
21-09-2024,1.1158142
22-09-2024,1.1376754
23-09-2024,1.1758664
24-09-2024,1.184942
25-09-2024,1.2061086
26-09-2024,1.2061328
27-09-2024,1.2054913
28-09-2024,1.2112988
29-09-2024,1.1989584
30-09-2024,1.2023642
01-10-2024,1.1768471
02-10-2024,1.1643679
03-10-2024,1.1324074
04-10-2024,1.1020981
05-10-2024,1.0811378
06-10-2024,1.0454246
07-10-2024,1.02925
08-10-2024,0.9882353
09-10-2024,0.9645194
10-10-2024,0.92564666
11-10-2024,0.89270014
12-10-2024,0.8732166
13-10-2024,0.8428309
14-10-2024,0.83547616
15-10-2024,0.8063323
16-10-2024,0.7970282
17-10-2024,0.7745437
18-10-2024,0.75935954
19-10-2024,0.75838995
20-10-2024,0.7466435
21-10-2024,0.7574406
22-10-2024,0.74537927
23-10-2024,0.7515509
24-10-2024,0.7424574
25-10-2024,0.73817205
26-10-2024,0.7452821
27-10-2024,0.7385569
28-10-2024,0.75116974
29-10-2024,0.73766565
30-10-2024,0.739177
31-10-2024,0.7223368
01-11-2024,0.70743436
02-11-2024,0.70134974
03-11-2024,0.67921185
04-11-2024,0.6746092
05-11-2024,0.6425445
06-11-2024,0.62463665
07-11-2024,0.5880198
08-11-2024,0.55348444
09-11-2024,0.52839804
10-11-2024,0.48834985
11-11-2024,0.4673493
12-11-2024,0.4207696
13-11-2024,0.3905409
14-11-2024,0.34404185
15-11-2024,0.30223557
